Service,Category,Skils,Similar Services
Anomaly Detector,AI & Machine Learning,,
Azure AI Bot Service,AI & Machine Learning,,
Azure AI Content Safety,AI & Machine Learning,,
Azure AI Custom Vision,AI & Machine Learning,,
Azure AI Document Intelligence,AI & Machine Learning,,
Azure AI Immersive Reader,AI & Machine Learning,,
Azure AI Language,AI & Machine Learning,,
Azure AI Metrics Advisor,AI & Machine Learning,,
Azure AI Personalizer,AI & Machine Learning,,
Azure AI Search,AI & Machine Learning,,
Azure AI Services,AI & Machine Learning,,
Azure AI Studio,AI & Machine Learning,,
Azure AI Translator,AI & Machine Learning,,
Azure AI Video Indexer,AI & Machine Learning,,
Azure Machine Learning,AI & Machine Learning,,
Azure Open Datasets,AI & Machine Learning,,
Azure OpenAI Service,AI & Machine Learning,,
Data Science Virtual Machines,AI & Machine Learning,,
Health Bot,AI & Machine Learning,,
Kinect DK,AI & Machine Learning,,
Language Understanding (LUIS),AI & Machine Learning,,
Microsoft Genomics,AI & Machine Learning,,
QnA Maker,AI & Machine Learning,,
Speaker recognition,AI & Machine Learning,,
Speech to text,AI & Machine Learning,,
Speech translation,AI & Machine Learning,,
Text to speech,AI & Machine Learning,,
Azure Analysis Services,Analytics,,
Azure API Apps,Analytics,,
Azure API for FHIR,Analytics,,
Azure Chaos Studio,Analytics,KQL,
Azure Data Catalog,Analytics,,
Azure Data Explorer,Analytics,,
Azure Data Factory,Analytics,,
Azure Data Lake Analytics,Analytics,,
Azure Databricks,Analytics,,
Azure Event Hubs,Analytics,,
Azure Log Analytics,Analytics,"Json,KQL",
Azure Logic Apps,Analytics,,
Azure Stream Analytics,Analytics,,
Azure Synapse Analytics,Analytics,,
HDInsight,Analytics,,
Microsoft Fabric,Analytics,,
Microsoft Purview,Analytics,,
Azure Batch,Compute,"Azure Container Registry, Azure Virtual Machines",
Azure Cloud Services,Compute,,
Azure Container Apps,Compute,Azure Container Registry,
Azure Container Instances,Compute,Azure Container Registry,
Azure Container Registry,Compute,,
Azure CycleCloud,Compute,,
Azure Dedicated Host,Compute,"Azure Virtual Machines, Windows Server, Linux",
Azure Functions,Compute,"App Service, C#, Python",
Azure Kubernetes Service (AKS),Compute,"Yaml,Azure Container Registry",
Azure Migrate,Compute,,
Azure Quantum,Compute,,
Azure Red Hat OpenShift,Compute,,
Azure Spring Cloud,Compute,,
Azure Virtual Machine Scale Sets,Compute,"Azure Virtual Machines, Azure Monitor",Amazon EC2 Auto Scaling
Azure Virtual Machines,Compute,"Azure Resource Manager, NSG",Amazon EC2
Azure Spot Virtual Machines,Compute,,Amazon EC2 Spot Instances
Azure VMware Solution,Compute,Azure Virtual Machines,VMWare Cloud on AWS
Service Fabric,Compute,,
Windows Virtual Desktop,Compute, Azure Virtual Machines,
Azure Cache for Redis,Database,,
Azure Cosmos DB,Database,"Json, T-SQL, MongoDB",
Azure Database for MariaDB,Database,,
Azure Database for MySQL,Database,"Linux,T-SQL",
Azure Database for PostgreSQL,Database,,
Azure Database Migration Service,Database,"SQL Server, Azure SQL",
Azure SQL,Database,T-SQL,
Azure SQL Database,Database,T-SQL,
Azure SQL Managed Instance,Database,T-SQL,
Azure Synapse Analytics,Database,,
SQL Server on Azure Virtual Machines,Database,"T-SQL,Azure Virtual Machines",
SQL Server Stretch Database,Database,,
Azure Artifacts,Developer Tools,,
Azure Boards,Developer Tools,,
Azure CLI,Developer Tools,,
Azure Code,Developer Tools,,
Azure Dev Spaces,Developer Tools,,
Azure DevOps,Developer Tools,,
Azure DevTest Labs,Developer Tools,,
Azure Lab Services,Developer Tools,,
Azure Pipelines,Developer Tools,,
Azure Repos,Developer Tools,,
Azure SDKs,Developer Tools,,
Azure Test Plans,Developer Tools,,
Visual Studio,Developer Tools,,
Visual Studio App Center,Developer Tools,,
Visual Studio Code,Developer Tools,,
Visual Studio Codespaces,Developer Tools,,
Visual Studio Online,Developer Tools,,
Visual Studio Subscriptions,Developer Tools,,
Azure Active Directory B2C,Identity,,
Azure Active Directory External Identities,Identity,,
Azure Entra ID,Identity,,
Azure Entra ID Domain Services,Identity,,
Azure Information Protection,Identity,,
Azure Multi-Factor Authentication,Identity,,
Azure Data Catalog,Integration,,
Azure Data Factory,Integration,,
Azure Data Share,Integration,,
Azure Data Sync,Integration,,
Azure Event Grid,Integration,,
Azure Logic Apps,Integration,,
Azure Service Bus,Integration,,
Azure SignalR Service,Integration,,
Azure Digital Twins,Internet of Things (IoT),,
Azure IoT Central,Internet of Things (IoT),,
Azure IoT Edge,Internet of Things (IoT),,
Azure IoT Hub,Internet of Things (IoT),,
Azure IoT Hub Device Provisioning Service,Internet of Things (IoT),,
Azure Maps,Internet of Things (IoT),,
Azure Sphere,Internet of Things (IoT),,
Azure Time Series Insights,Internet of Things (IoT),,
Azure Advisor,Management and governance,,
Azure Arc,Management and governance,,
Azure Automation,Management and governance,,
Azure Blueprints,Management and governance,"Azure Policy, Azure Resource Manager, Json",
Azure Cloud Shell,Management and governance,"PowerShell, Bash",
Azure Cost Management and Billing,Management and governance,"Azure Subscriptions,Azure Resource Manager, Excel,PowerBI,Storage Account",
Azure Lighthouse,Management and governance,,
Azure Monitor,Management and governance,"Azure Log Analytics,KQL,Json,REST",
Azure Monitor Alerts,Management and governance,"Email,SMS,Azure Monitor",
Azure Policy,Management and governance,"Json, Azure Management Groups, Azure Subscriptions",
Azure Resource Graph,Management and governance,"Json,KQL",
Azure Resource Manager,Management and governance,"Json, Bicep, Templates",
Azure Resource Mover,Management and governance,,
Azure Service Health,Management and governance,"Json, Azure Monitor, Azure Monitor Alerts",
Azure Update Management,Management and governance,,
Azure Media Player,Media,,
Azure Media Services,Media,,
Azure Video Analyzer,Media,,
Azure Migrate,Migration,,
Azure Site Recovery,Migration,,
Azure Kinect DK,Mixed Reality,,
Azure Remote Rendering,Mixed Reality,,
Azure Spatial Anchors,Mixed Reality,,
Azure App Configuration,Mobile,,
Azure Communication Services,Mobile,,
Azure Mobile Apps,Mobile,,
Azure Notification Hubs,Mobile,,
Azure Bastion,Networking,,
Azure Content Delivery Network,Networking,,
Azure DNS,Networking,,
Azure ExpressRoute,Networking,,
Azure Firewall,Networking,,
Azure Front Door,Networking,,
Azure Load Balancer,Networking,,
Azure Network Watcher,Networking,NSG,
Azure Private Link,Networking,,
Azure Traffic Manager,Networking,DNS,
Azure Virtual Network,Networking,"Subnet, NSG, Peering",
Azure VPN Gateway,Networking,"IPSec, Subnet, Certificates",
Azure Web Application Firewall,Networking,,
Azure Active Directory,Security,,
Azure Active Directory Domain Services,Security,,
Azure Advanced Threat Protection,Security,,
Azure Application Gateway,Security,Certificates,
Azure Defender,Security,,
Azure Firewall,Security,,
Azure Information Protection,Security,,
Azure Key Vault,Security,Certificates,
Azure Multi-Factor Authentication,Security,,
Azure Security Center,Security,,
Azure Sentinel,Security,,
Azure Archive Storage,Storage,,
Azure Backup,Storage,,
Azure Blob Storage,Storage,,Amazon Elastic Block Store (EBS)
Azure Data Box,Storage,"Azure Blob Storage, Azure File Storage",
Azure Data Box Edge,Storage,,
Azure Data Box Gateway,Storage,,
Azure Data Lake Storage,Storage,,
Azure Data Lake Storage Gen1,Storage,,
Azure Data Lake Storage Gen2,Storage,,
Azure Disk Storage,Storage,,
Azure File Storage,Storage,,
Azure NetApp Files,Storage,,
Azure Queue Storage,Storage,,
Azure Storage Explorer,Storage,,
Azure Table Storage,Storage,NoSQL,
Azure API Gateway,Web,,
App Service,Web,,
App Service (Linux),Web,,
App Service Environment,Web,,
Azure API Management,Web,"Json,REST",
Azure Content Delivery Network,Web,,
Azure Front Door,Web,,
Azure SignalR Service,Web,,
Azure Spring Cloud,Web,,
Azure Static Web Apps,Web,,
Web Apps,Web,,
